series,season,episode,episode_name,air_date,summary,mini_challenge,main_challenge,mini_challenge_winner,runway_theme
Rupaul's Drag Race,1,1,"""Drag on a Dime""",2009-02-02,"
Nine drag queens enter the workroom for the first time. The queens are then thrown into their first mini-challenge, in which they must take a sexy photoshoot on a car while getting doused with buckets of water from the pit crew. For the main challenge, the queens will make an outfit out of items from the thrift store.
On the runway, Nina Flowers and Ongina receive positive critiques, with Nina Flowers winning the challenge. Akashia, Rebecca Glasscock and Victoria ""Porkchop"" Parker receive negative critiques, with Rebecca Glasscock being safe. Akashia and Victoria ""Porkchop"" Parker lip-sync to ""Supermodel (You Better Work)"" by RuPaul. Akashia wins the lip-sync and Victoria ""Porkchop"" Parker sashays away.

Guest Judges: Bob Mackie and Mike Ruiz
Mini-Challenge: Sexy car wash photo shoot
Main Challenge: Making an outfit out of items from the thrift store
Challenge Winner: Nina Flowers
Bottom Two: Akashia and Victoria ""Porkchop"" Parker
Lip-sync Song: ""Supermodel (You Better Work)"" by RuPaul
Eliminated: Victoria ""Porkchop"" Parker
", Sexy car wash photo shoot, Making an outfit out of items from the thrift store,,
Rupaul's Drag Race,1,2,"""Girl Groups""",2009-02-09,"
The eight remaining contestants were given a mini-challenge in which they acted out certain emotions and took pictures of themselves with a digital camera. RuPaul then deemed Akashia and Ongina the winners and made them the group leaders in the next challenge, a girl group battle. The groups were each responsible for their own hair, makeup, costumes, and choreography and they each had to perform to a Destiny's Child song. Ongina chooses Nina Flowers, Rebecca Glasscock and Shannel for her team and are chosen to perform ""Say My Name"". Akashia chooses BeBe Zahara Benet, Jade and Tammie Brown for her team and are chosen to perform ""Independent Women Part I""
On the runway, Team Ongina is the winning team, with Ongina winning the overall challenge. Team Akashia is the losing team, with BeBe Zahara Benet and Jade being saved. Akashia and Tammie Brown lip-sync to ""We Break the Dawn"" by Michelle Williams. Tammie Brown chooses not to lip-sync and just stands there and dances. Akashia is declared the winner, leaving Tammie Brown to sashay away.

Guest Judges: Frank Gatson and Michelle Williams
Mini-Challenge: Act out certain emotions
Mini-Challenge Winners: Akashia and Ongina
Main Challenge: Destiny's Child girl group battle
Challenge Winner: Ongina
Bottom Two: Akashia and Tammie Brown
Lip-sync Song: ""We Break the Dawn"" by Michelle Williams
Eliminated: Tammie Brown
", Act out certain emotions, Destiny's Child girl group battle, Akashia and Ongina,
Rupaul's Drag Race,1,3,"""Queens of All Media""",2009-02-16,"
This week's challenge was to channel Oprah Winfrey. Each contestant was allowed to pick a costume from a bin supplied for them, choose a costume they brought, or make their own on the spot. The challenge was in three parts, representing three stages of Oprah's career. The first task was a newscaster challenge where they had to read mock news stories from a teleprompter. The next task was to try to sell products, reminiscent of Oprah on her ""My Favorite Things"" specials. The third task was to interview Tori Spelling and Dean McDermott.
On the runway, BeBe Zahara Benet, Nina Flowers and Ongina all receive positive critiques, with BeBe Zahara Benet winning the overall challenge. Akashia, Jade and Shannel all receive negative critiques, with Akashia and Shannel landing in the bottom two. Akashia and Shannel lip-sync to ""The Greatest Love of All"" by Whitney Houston. After an amazing performance, Shannel is declared the winner, and Akashia is eliminated after her third time landing in the bottom two.

Guest judges: Howard Bragman and Debra Wilson
Main Challenge: Channeling Oprah in three stages of her career: A mock interview, selling products, and interview 2 people
Challenge Winner: BeBe Zahara Benet
Bottom Two: Akashia and Shannel
Lip-sync Song: ""The Greatest Love of All"" by Whitney Houston
Eliminated: Akashia
",," Channeling Oprah in three stages of her career: A mock interview, selling products, and interview 2 people",,
Rupaul's Drag Race,1,4,"""Mac-Viva Glam""",2009-02-23,"
For the mini-challenge, RuPaul paired everyone up and gave each person 30 minutes to do their partner's makeup, with Jade being declared the winner. The main challenge involved the girls putting together a commercial for Mac's Viva Glam makeup, a cosmetics line which Ru has once modeled for. The winner of the challenge would become the new face of Viva Glam. The girls were told that they must use the commercial to explain who they are as queens, to explain why they are beautiful, and to inform people of Viva Glam's help for those living with HIV.
On the runway, BeBe Zahara Benet, Nina Flowers and Ongina receive positive critiques. Ongina is revealed to be the winner of the challenge, and emotionally reveals that she has been living with HIV for the last 2 years of her life. Jade, Rebecca Glasscock and Shannel are the bottom three queens, with Shannel being saved. Jade and Rebecca Glasscock lip-sync to ""Would I Lie To You?"" by The Eurythmics. Rebecca is saved, and Jade sashays away.

Guest judges: Gordon Espinet and Jenny Shimizu
Mini-Challenge: Give your partner a 30 minute makeover
Mini-Challenge Winner: Jade
Main Challenge: Mac-Viva Glam commercial
Challenge Winner: Ongina
Bottom Two: Jade and Rebecca Glasscock
Lip-sync Song: ""Would I Lie To You?"" by The Eurythmics
Eliminated: Jade
", Give your partner a 30 minute makeover, Mac-Viva Glam commercial, Jade,
Rupaul's Drag Race,1,5,"""Drag School of Charm""",2009-03-02,"
For the episode's mini-challenge, Ru brought in five female fighters to put the contestants through an exercise and endurance challenge. The last person standing would win the challenge; Rebecca won.
Ru then told the contestants that their main challenge would be for each of them to make over one of the fighters in their own image and teach them the secrets of drag. Rebecca got to select her partner as well as whom the others had to work with. They also had to coach the fighters on how to give a lip sync performance, which they had to do to Beyoncé's, ""Freakum Dress"".
On the runway, Rebecca Glasscock and Shannel are the top 2 queens, with Rebecca Glasscock winning the challenge. Nina Flowers is criticized on her runway looks, but is ultimately saved, leaving BeBe Zahara Benet and Ongina as the bottom two. They lip-sync to ""Stronger"" by Britney Spears. After an amazing performance, Ru walks off stage to collect her thoughts on who to send home. She ultimately saves BeBe Zahara Benet, leaving Ongina to sashay away.

Guest judges: Lucy Lawless and Robin Antin
Mini-Challenge: Outlast your opponents in an endurance challenge
Mini-Challenge Winner: Rebecca Glasscock
Main Challenge: Transforming a female fighter in their own image
Challenge Winner: Rebecca Glasscock
Bottom Two: Bebe Zahara Benet and Ongina
Lip-sync Song: ""Stronger"" by Britney Spears
Eliminated: Ongina
", Outlast your opponents in an endurance challenge, Transforming a female fighter in their own image, Rebecca Glasscock,
Rupaul's Drag Race,1,6,"""The Absolut Ball""",2009-03-09,"
The contestants met Ru on the runway for a vogue battle mini-challenge, which Nina won. For their main challenge, each contestant had to come up with three looks: Swimsuit, Executive Realness, and Evening Wear. Ru also informed the girls that Absolut was sponsoring the event and thus, they had to each portray one of four pre-selected flavors: citron, mandarin, mango, and raspberry. As the winner of the mini-challenge, Nina selected her flavor and paired everyone else up. Ru later revealed that they had to use their assigned fruits as part of their runway presentation.

BeBe Zahara Benet - Raspberry
Nina Flowers - Mango
Rebecca Glasscock - Citron
Shannel - Mandarin
On the runway, BeBe Zahara Benet and Nina Flowers receive the best critiques, with BeBe Zahara Benet winning the challenge. Rebecca Glasscock and Shannel are the bottom two, and they lip-sync to ""Shackles (Praise You)"" by Mary Mary. Rebecca Glasscock wins, and Shannel sashays away.

Guest judges: Jeffrey Moran and María Conchita Alonso
Mini-Challenge: Vogue battle
Mini-Challenge Winner: Nina Flowers
Main Challenge: The Absolut Drag Ball
Runway Themes: Swimsuit, Executive Realness and Evening Wear
Challenge Winner: BeBe Zahara Benet
Bottom Two: Rebecca Glasscock and Shannel
Lip-sync Song: ""Shackles (Praise You)"" by Mary Mary
Eliminated: Shannel
", Vogue battle, The Absolut Drag Ball, Nina Flowers," Swimsuit, Executive Realness and Evening Wear"
Rupaul's Drag Race,1,7,"""Extra Special Edition""",2009-03-16,"
RuPaul takes a look back to the best moments of the season. Including unaired clips, the audition tapes of the queens that did and didn't make it to the show, and the Top 10 most memorable fashion looks of the season. 

Guests: Merle Ginsberg and Santino Rice
",,,,
Rupaul's Drag Race,1,8,"""Grand Finale""",2009-03-23,"
Merle and Santino came in to inform the final three that their last challenge would be to appear in RuPaul's latest video for her song, ""Cover Girl (Put The Bass In Your Walk)"". They would do a group dance, record a verse with rapper Cazwell, and film a solo for Ru's video. To get them prepared, choreographer Ryan Heffington took the final three through the planned dance routine. None of them adapted easily, but Rebecca in particular struggled with the dancing required. Afterward, each queen got an impromptu sit-down with Ru.
On the runway, Rebecca Glasscock is eliminated, leaving BeBe Zahara Benet and Nina Flowers as the final two queens. They are told they are going to be lip-syncing to ""Cover Girl (Put the Bass in Your Walk)"" by RuPaul for one last challenge. It is then revealed that BeBe Zahara Benet is the winner, leaving Nina Flowers as the runner-up.

Main Challenge: Recording a verse and filming a spot for RuPaul's latest video ""Cover Girl (Put the Bass in Your Walk)""
Eliminated: Rebecca Glasscock
Top Two: BeBe Zahara Benet and Nina Flowers
Lip Sync Song: ""Cover Girl (Put the Bass in Your Walk)"" by RuPaul
Runner-up: Nina Flowers
Winner of RuPaul's Drag Race Season One: BeBe Zahara Benet
",," Recording a verse and filming a spot for RuPaul's latest video ""Cover Girl (Put the Bass in Your Walk)""",,
Rupaul's Drag Race,1,9,"""Reunited""",2009-03-23,"
The nine contestants gathered once again to chat about the season behind them and their current lives with RuPaul, Merle, and Santino with questions from the viewers. Discussions include, Jade and Shannel's issues with Rebecca Glasscock, Ongina's HIV story, and an argument between RuPaul, Santino and Tammie Brown. Nina Flowers is then crowned with this season's Miss Congeniality.

Miss Congeniality: Nina Flowers
",,,,
Rupaul's Drag Race,2,1,"""Gone with the Window""",2010-02-01,"
12 new queens enter the workroom. For their first mini-challenge, they must do a photoshoot straddling a cannon, while a high-speed fan blows them in the face. Raven wins the mini-challenge. For the main challenge, the queens must make an outfit made out of curtains and home furnishings. Due to winning the mini-challenge, Raven got to choose her curtains first. 
On the runway, Morgan McMichaels, Pandora Boxx and Tyra Sanchez receive positive critiques, with Morgan McMichaels winning the overall challenge. Mystique Summers Madison, Sahara Davenport and Shangela Laquifa Wadley receive negative critiques. Ru calls Mystique's outfit ""raggedy"", but is ultimately declared safe, leaving Sahara and Shangela in the bottom two. They lip-sync to ""Cover Girl (Put the Bass in Your Walk)"" by RuPaul. Sahara Davenport wins the lip-sync, leaving Shangela Laquifa Wadley to be the first queen to sashay away. 

Guest Judges: Mike Ruiz and Kathy Griffin
Mini-Challenge: Gone with the Wind inspired photo shoot
Mini-Challenge Winner: Raven
Main Challenge: Outfits made from curtains and home furnishings
Challenge Winner: Morgan McMichaels
Bottom Two: Sahara Davenport and Shangela Laquifa Wadley
Lip Sync Song: ""Cover Girl (Put the Bass in Your Walk)"" by RuPaul
Eliminated: Shangela Laquifa Wadley 
Farewell Message: ""Love you all.  Turn it out... Shangela ""DJ""""
", Gone with the Wind inspired photo shoot, Outfits made from curtains and home furnishings, Raven,
